"Principais culturas permanentes (Oeste, Grande Lisboa e Península de Setúbal)",,,,,,,,,,,,,,
,,,área (ha),   70 ,   14 ,   37 ,... ,... ,   8 ,   10 ,- ,- ,- ,- 
,,Montijo,expl (nº),   687 ,   228 ,   440 ,- ,   5 ,   115 ,   366 ,   1 ,- ,- ,- 
,,,área (ha),  1 495 ,   182 ,   174 ,- ,o ,   84 ,  1 050 ,... ,- ,- ,- 
,,Palmela,expl (nº),  2 018 ,   655 ,   822 ,   3 ,   19 ,   165 ,  1 593 ,   5 ,- ,- ,- 
,,,área (ha),  7 269 ,   401 ,   275 ,o ,   8 ,   131 ,  6 426 ,   29 ,- ,- ,- 
,,Seixal,expl (nº),   53 ,   38 ,   46 ,   1 ,   4 ,   3 ,   18 ,- ,- ,- ,- 
,,,área (ha),   31 ,   11 ,   15 ,... ,   1 ,   2 ,   3 ,- ,- ,- ,- 
,,Sesimbra,expl (nº),   239 ,   151 ,   71 ,- ,   12 ,   13 ,   174 ,- ,- ,- ,- 
,,,área (ha),   181 ,   66 ,   21 ,- ,   4 ,   8 ,   83 ,- ,- ,- ,- 
,,Setúbal,expl (nº),   444 ,   153 ,   337 ,   1 ,   19 ,   109 ,   194 ,- ,- ,- ,- 
,,,área (ha),  1 094 ,   104 ,   207 ,... ,   18 ,   133 ,   634 ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
