"Produtor singular segundo a OTE e as Classes de Idade  (Dão-Lafões, página 2)",,,,,,,,,,,
,,55 - 64,- ,28,3,45,78,4,99,8,- 
,,>= 65,- ,36,1,37,60,1,78,3,- 
,Nelas,,,,,,,,,,
,,Total,1,65,4,605,32,15,25,92,- 
,,15 - 24,- ,1,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,- ,8,1,- ,- ,2,- 
,,35 - 44,- ,16,1,44,4,1,1,5,- 
,,45 - 54,- ,12,1,142,6,4,7,19,- 
,,55 - 64,- ,22,2,192,9,5,5,31,- 
,,>= 65,1,13,- ,219,12,5,12,35,- 
,Oliveira de Frades,,,,,,,,,,
,,Total,26,74,107,122,206,70,203,39,- 
,,15 - 24,- ,- ,- ,- ,1,- ,- ,- ,- 
,,25 - 34,1,2,13,7,19,5,8,7,- 
,,35 - 44,2,13,22,12,31,16,36,6,- 
,,45 - 54,9,18,37,33,55,17,44,6,- 
,,55 - 64,8,18,27,24,50,17,47,9,- 
,,>= 65,6,23,8,46,50,15,68,11,- 
,Penalva do Castelo,,,,,,,,,,
,,Total,- ,62,4,399,57,4,114,48,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,1,6,1,- ,5,2,- 
,,35 - 44,- ,8,1,29,4,1,14,13,- 
,,45 - 54,- ,16,1,105,13,1,20,15,- 
,,55 - 64,- ,19,1,123,18,1,33,7,- 
,,>= 65,- ,18,- ,136,21,1,42,11,- 
,Santa Comba Dão,,,,,,,,,,
,,Total,- ,48,52,296,57,34,27,53,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,3,2,4,1,- ,- ,1,- 
,,35 - 44,- ,7,5,35,9,5,3,5,- 
,,45 - 54,- ,14,22,64,18,11,7,19,- 
,,55 - 64,- ,14,17,98,16,14,8,19,- 
,,>= 65,- ,10,6,95,13,4,9,9,- 
,São Pedro do Sul,,,,,,,,,,
,,Total,70,203,45,237,285,50,400,57,- 
,,15 - 24,- ,- ,- ,1,- ,- ,- ,1,- 
,,25 - 34,- ,15,4,3,8,2,14,2,- 
,,35 - 44,14,27,5,32,40,9,50,7,- 
,,45 - 54,29,53,17,63,86,17,82,18,- 
,,55 - 64,15,48,10,66,87,14,132,18,- 
,,>= 65,12,60,9,72,64,8,122,11,- 
,Sátão,,,,,,,,,,
,,Total,4,48,38,457,158,61,219,188,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,1,3,1,7,5,3,3,9,- 
,,35 - 44,- ,6,9,35,21,13,18,34,- 
,,45 - 54,3,16,15,103,45,14,31,51,- 
,,55 - 64,- ,11,8,126,41,18,79,48,- 
,,>= 65,- ,12,5,186,46,13,88,46,- 
,Tondela,,,,,,,,,,
,,Total,3,163,96,"1,249",427,128,279,216,1
,,15 - 24,- ,- ,- ,1,- ,1,- ,1,- 
,,25 - 34,- ,6,4,17,7,1,3,9,- 
,,35 - 44,1,25,18,108,43,30,34,27,- 
,,45 - 54,2,43,30,253,116,33,61,52,- 
,,55 - 64,- ,44,28,405,150,41,102,75,1
,,>= 65,- ,45,16,465,111,22,79,52,- 
,Vila Nova de Poiares,,,,,,,,,,
,,Total,2,110,23,96,78,22,196,38,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,1,- ,- 
,,25 - 34,- ,7,4,1,2,- ,4,2,- 
,,35 - 44,- ,18,8,13,5,4,25,10,- 
,,45 - 54,2,20,7,28,10,7,44,9,- 
,,55 - 64,- ,33,2,27,35,5,52,7,- 
,,>= 65,- ,32,2,27,26,6,70,10,- 
,Viseu,,,,,,,,,,
,,Total,- ,229,41,"1,728",523,79,398,312,2
,,15 - 24,- ,2,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,8,3,20,8,2,6,9,- 
,,35 - 44,- ,20,11,171,39,10,40,39,- 
,,45 - 54,- ,47,13,425,146,25,79,88,- 
,,55 - 64,- ,77,12,559,195,26,142,94,1
,,>= 65,- ,75,2,553,135,16,131,82,1
,Vouzela,,,,,,,,,,
,,Total,13,77,87,214,228,95,229,97,- 
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,- ,1,9,3,5,3,5,4,- 
,,35 - 44,2,10,13,16,35,12,21,24,- 
,,45 - 54,4,13,29,43,55,27,40,24,- 
,,55 - 64,3,29,24,63,62,32,73,24,- 
,,>= 65,4,24,12,89,71,21,90,21,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,
