Produtor singular segundo a OTE e as classes de idade,,,,,,,,,,,,
,,,55 - 64,- ,   19 ,- ,   54 ,   4 ,   1 ,   2 ,   17 ,- 
,,,>= 65,- ,   31 ,   1 ,   117 ,   4 ,   3 ,   9 ,   29 ,   1 
,,Alcanena,,,,,,,,,,
,,,Total,   3 ,   26 ,   8 ,   58 ,   8 ,   5 ,- ,   82 ,   1 
,,,15 - 24,- ,- ,- ,   1 ,- ,- ,- ,   1 ,- 
,,,25 - 34,- ,   2 ,- ,   3 ,- ,- ,- ,   1 ,- 
,,,35 - 44,   2 ,   1 ,   2 ,   8 ,   2 ,- ,- ,   5 ,- 
,,,45 - 54,- ,   5 ,   1 ,   13 ,   4 ,   1 ,- ,   21 ,   1 
,,,55 - 64,   1 ,   6 ,   4 ,   13 ,- ,   3 ,- ,   22 ,- 
,,,>= 65,- ,   12 ,   1 ,   20 ,   2 ,   1 ,- ,   32 ,- 
,,Constância,,,,,,,,,,
,,,Total,- ,   2 ,- ,   5 ,- ,- ,- ,   4 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,,,45 - 54,- ,   1 ,- ,   1 ,- ,- ,- ,   3 ,- 
,,,55 - 64,- ,   1 ,- ,   1 ,- ,- ,- ,- ,- 
,,,>= 65,- ,- ,- ,   2 ,- ,- ,- ,   1 ,- 
,,Entroncamento,,,,,,,,,,
,,,Total,- ,   2 ,- ,   12 ,- ,- ,   1 ,   2 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,35 - 44,- ,- ,- ,   2 ,- ,- ,- ,   1 ,- 
,,,45 - 54,- ,- ,- ,   1 ,- ,- ,- ,- ,- 
,,,55 - 64,- ,   2 ,- ,   3 ,- ,- ,   1 ,   1 ,- 
,,,>= 65,- ,- ,- ,   6 ,- ,- ,- ,- ,- 
,,Ferreira do Zêzere,,,,,,,,,,
,,,Total,- ,   12 ,   5 ,   151 ,   13 ,   3 ,   1 ,   64 ,- 
,,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,- ,- ,- ,   5 ,- ,- ,   1 ,   2 ,- 
,,,35 - 44,- ,   1 ,   2 ,   17 ,   3 ,- ,- ,   12 ,- 
,,,45 - 54,- ,   1 ,   1 ,   26 ,   4 ,   2 ,- ,   18 ,- 
,,,55 - 64,- ,   4 ,   2 ,   55 ,   5 ,   1 ,- ,   14 ,- 
,,,>= 65,- ,   6 ,- ,   48 ,   1 ,- ,- ,   18 ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
