Produtor singular segundo a OTE e as classes de idade (Página 3),,,,,,,,,,,,,
,,,15 - 24,4,- ,- ,1,- ,- ,- ,- ,3,- 
,,,25 - 34,35,- ,2,12,1,- ,- ,- ,8,1
,,,35 - 44,166,- ,1,49,- ,- ,- ,- ,36,5
,,,45 - 54,347,- ,7,93,2,- ,- ,1,72,7
,,,55 - 64,367,- ,16,88,- ,- ,- ,2,39,8
,,,>= 65,395,2,19,82,9,- ,- ,1,33,2
,,Terras do Bouro,,,,,,,,,,,
,,,Total,731,3,23,1,46,3,- ,4,- ,52
,,,15 - 24,4,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,36,1,- ,- ,4,- ,- ,- ,- ,3
,,,35 - 44,98,- ,1,- ,3,- ,- ,1,- ,12
,,,45 - 54,135,1,3,- ,6,- ,- ,- ,- ,6
,,,55 - 64,216,1,6,- ,19,2,- ,1,- ,13
,,,>= 65,242,- ,13,1,14,1,- ,2,- ,18
,,Vila Verde,,,,,,,,,,,
,,,Total,"2,671",22,134,14,137,27,- ,43,29,84
,,,15 - 24,9,- ,2,3,1,- ,- ,- ,1,- 
,,,25 - 34,110,2,4,6,3,1,- ,2,11,6
,,,35 - 44,360,2,11,2,13,5,- ,1,4,16
,,,45 - 54,575,2,34,1,20,6,- ,9,7,22
,,,55 - 64,796,5,39,- ,32,10,- ,6,6,17
,,,>= 65,821,11,44,2,68,5,- ,25,- ,23
,Ave,,,,,,,,,,,,
,,,Total,"8,990",40,833,137,773,46,- ,162,514,297
,,,15 - 24,36,- ,5,5,1,- ,- ,- ,9,2
,,,25 - 34,382,3,40,22,25,4,- ,4,70,28
,,,35 - 44,"1,127",3,87,34,95,5,- ,23,120,43
,,,45 - 54,"1,612",4,129,19,126,15,- ,17,140,69
,,,55 - 64,"2,574",10,214,23,204,14,- ,39,110,72
,,,>= 65,"3,259",20,358,34,322,8,- ,79,65,83
,,Fafe,,,,,,,,,,,
,,,Total,"2,018",1,234,16,86,2,- ,5,9,34
,,,15 - 24,3,- ,- ,- ,1,- ,- ,- ,- ,- 
,,,25 - 34,57,- ,9,4,1,- ,- ,2,1,2
,,,35 - 44,224,- ,15,2,9,- ,- ,- ,5,5
,,,45 - 54,377,- ,37,6,12,2,- ,1,1,6
,,,55 - 64,608,1,60,2,31,- ,- ,- ,1,14
,,,>= 65,749,- ,113,2,32,- ,- ,2,1,7
,,Guimarães,,,,,,,,,,,
,,,Total,"1,753",1,131,64,209,11,- ,51,59,24
,,,15 - 24,8,- ,2,2,- ,- ,- ,- ,1,- 
,,,25 - 34,95,1,6,9,15,1,- ,2,7,4
,,,35 - 44,258,- ,24,21,28,- ,- ,7,21,3
,,,45 - 54,273,- ,16,7,34,6,- ,8,12,6
,,,55 - 64,498,- ,31,8,45,2,- ,10,7,6
,,,>= 65,621,- ,52,17,87,2,- ,24,11,5
,,Póvoa de Lanhoso,,,,,,,,,,,
,,,Total,"1,046",3,92,7,88,6,- ,20,20,13
,,,15 - 24,3,- ,- ,1,- ,- ,- ,- ,- ,- 
,,,25 - 34,33,1,2,1,1,2,- ,- ,3,1
,,,35 - 44,137,- ,12,- ,10,2,- ,5,5,2
,,,45 - 54,208,- ,15,2,17,2,- ,2,6,1
,,,55 - 64,294,1,26,2,26,- ,- ,4,5,4
,,,>= 65,371,1,37,1,34,- ,- ,9,1,5
,,Santo Tirso,,,,,,,,,,,
,,,Total,790,5,63,8,95,9,- ,31,54,13
,,,15 - 24,1,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,25 - 34,30,- ,3,1,2,- ,- ,- ,11,2
,,,35 - 44,69,- ,4,1,12,1,- ,2,9,3
,,,45 - 54,108,- ,8,1,11,- ,- ,2,9,1
,,,55 - 64,229,2,21,2,25,5,- ,5,14,1
,,,>= 65,353,3,27,3,45,3,- ,22,11,6
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
