Principais culturas permanentes,,,,,,,,,,,,,,
,,,área (ha),373,10,4,- ,5,258,95,- ,- ,- ,- 
,,Góis,expl (nº),228,24,- ,- ,32,203,85,3,- ,- ,- 
,,,área (ha),127,3,- ,- ,20,89,4,10,- ,- ,- 
,,Lousã,expl (nº),240,34,13,1,17,126,176,20,- ,- ,- 
,,,área (ha),166,9,1,... ,2,66,24,62,- ,- ,- 
,,Miranda do Corvo,expl (nº),761,149,88,1,60,599,585,90,- ,- ,- 
,,,área (ha),535,39,7,... ,16,252,152,70,- ,- ,- 
,,Oliveira do Hospital,expl (nº),"1,529",64,15,1,55,922,"1,457",1,- ,- ,1
,,,área (ha),"1,282",24,2,... ,61,788,408,... ,- ,- ,... 
,,Pampilhosa da Serra,expl (nº),326,53,42,1,16,312,235,- ,- ,- ,- 
,,,área (ha),218,5,2,... ,13,184,15,- ,- ,- ,- 
,,Pedrógão Grande,expl (nº),437,19,8,- ,2,433,225,- ,- ,- ,- 
,,,área (ha),532,8,1,- ,... ,500,23,- ,- ,- ,- 
,,Penela,expl (nº),733,79,46,2,45,711,548,- ,- ,- ,- 
,,,área (ha),"1,050",8,1,... ,16,795,229,- ,- ,- ,- 
,,Tábua,expl (nº),931,49,8,4,13,673,893,- ,- ,- ,1
,,,área (ha),739,21,1,2,22,540,151,- ,- ,- ,... 
,,Vila Nova de Poiares,expl (nº),285,41,18,1,12,122,269,4,- ,- ,- 
,,,área (ha),120,9,3,... ,9,60,32,7,- ,- ,- 
,Dão-Lafões,,expl (nº),"20,233","1,634",549,54,"1,360","6,914","19,205",39,- ,- ,30
,,,área (ha),"12,802","1,253",76,11,578,"2,363","8,479",14,- ,- ,6
,,Aguiar da Beira,expl (nº),511,54,- ,- ,78,137,404,1,- ,- ,- 
,,,área (ha),411,159,- ,- ,69,48,137,... ,- ,- ,- 
,,Carregal do Sal,expl (nº),989,43,13,- ,41,623,924,- ,- ,- ,1
,,,área (ha),853,34,1,- ,20,452,345,- ,- ,- ,... 
,,Castro Daire,expl (nº),890,20,4,- ,71,212,765,- ,- ,- ,- 
,,,área (ha),173,10,o ,- ,22,41,102,- ,- ,- ,- 
,,Mangualde,expl (nº),"1,632",171,16,3,149,598,"1,585",- ,- ,- ,- 
,,,área (ha),"1,268",117,1,7,64,196,886,- ,- ,- ,- 
,,Mortágua,expl (nº),808,38,11,1,23,126,796,4,- ,- ,1
,,,área (ha),193,2,2,... ,o ,24,161,1,- ,- ,... 
,,Nelas,expl (nº),"1,324",117,11,5,28,613,"1,256",- ,- ,- ,- 
,,,área (ha),"1,570",45,1,1,11,311,"1,200",- ,- ,- ,- 
,,Oliveira de Frades,expl (nº),995,25,49,9,32,68,985,- ,- ,- ,13
,,,área (ha),118,4,3,o ,13,11,87,- ,- ,- ,1
,,Penalva do Castelo,expl (nº),"1,119",100,2,1,25,584,"1,018",5,- ,- ,1
,,,área (ha),"1,198",153,... ,... ,9,296,734,2,- ,- ,... 
,,Santa Comba Dão,expl (nº),771,44,16,4,41,277,753,1,- ,- ,5
,,,área (ha),373,30,o ,o ,10,68,263,... ,- ,- ,o 
,,São Pedro do Sul,expl (nº),"1,584",88,44,3,44,336,"1,569",1,- ,- ,- 
,,,área (ha),376,86,9,o ,35,67,173,... ,- ,- ,- 
,,Sátão,expl (nº),"1,096",81,2,3,254,357,931,12,- ,- ,- 
,,,área (ha),672,70,... ,o ,96,85,414,6,- ,- ,- 
,,Tondela,expl (nº),"3,137",302,269,5,179,665,"3,092",7,- ,- ,2
,,,área (ha),"2,074",70,54,1,58,127,"1,758",o ,- ,- ,... 
,,Vila Nova de Paiva,expl (nº),155,20,- ,- ,112,8,48,- ,- ,- ,- 
,,,área (ha),74,12,- ,- ,58,o ,1,- ,- ,- ,- 
,,Viseu,expl (nº),"4,079",488,105,18,264,"2,181","3,946",8,- ,- ,6
,,,área (ha),"3,166",338,4,2,105,614,"2,094",4,- ,- ,2
,,Vouzela,expl (nº),"1,143",43,7,2,19,129,"1,133",- ,- ,- ,1
,,,área (ha),283,123,o ,... ,8,23,124,- ,- ,- ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,,,
