"Culturas regadas, página 1",,,,,,,,,,,,
,Aguiar da Beira,expl (nº),- ,- ,6,935,- ,8,83,86,13,"1,027"
,,área regada (ha),- ,- ,2,672,- ,29,59,103,16,615
,Carregal do Sal,expl (nº),1,- ,30,807,- ,- ,122,117,8,875
,,área regada (ha),... ,- ,9,373,- ,- ,112,77,6,223
,Castro Daire,expl (nº),7,- ,13,"1,929",- ,1,411,"1,514",52,"1,831"
,,área regada (ha),1,- ,6,886,- ,... ,121,"1,013",40,380
,Mangualde,expl (nº),1,- ,10,"1,348",- ,- ,530,294,83,"1,585"
,,área regada (ha),... ,- ,6,760,- ,- ,707,461,154,476
,Mortágua,expl (nº),11,- ,64,649,- ,1,71,109,1,266
,,área regada (ha),2,- ,21,225,- ,... ,16,11,... ,47
,Nelas,expl (nº),- ,- ,37,853,- ,- ,77,37,24,"1,132"
,,área regada (ha),- ,- ,21,216,- ,- ,71,78,83,220
,Oliveira de Frades,expl (nº),- ,- ,671,495,- ,26,380,835,180,669
,,área regada (ha),- ,- ,470,288,- ,54,119,882,87,45
,Penalva do Castelo,expl (nº),3,- ,2,"1,081",- ,- ,83,153,12,"1,194"
,,área regada (ha),o ,- ,... ,581,- ,- ,63,100,10,425
,Santa Comba Dão,expl (nº),6,- ,76,575,- ,1,100,74,12,567
,,área regada (ha),2,- ,37,238,- ,... ,55,60,20,102
,São Pedro do Sul,expl (nº),1,- ,515,"1,235",- ,38,631,"1,442",96,885
,,área regada (ha),... ,- ,381,792,- ,90,227,"1,376",54,69
,Sátão,expl (nº),2,- ,21,"1,359",- ,6,124,87,32,"1,405"
,,área regada (ha),... ,- ,9,695,- ,7,54,47,12,239
,Tondela,expl (nº),12,- ,75,"2,623",- ,5,638,"1,016",33,"2,451"
,,área regada (ha),2,- ,60,"1,142",- ,15,295,568,9,346
,Vila Nova de Paiva,expl (nº),1,- ,3,495,- ,20,74,293,28,508
,,área regada (ha),... ,- ,3,198,- ,33,19,156,10,102
,Viseu,expl (nº),- ,- ,71,"3,675",- ,17,731,"1,933",108,"3,671"
,,área regada (ha),- ,- ,34,"1,518",- ,50,272,"1,027",45,664
,Vouzela,expl (nº),1,- ,517,738,- ,31,267,"1,067",118,960
,,área regada (ha),... ,- ,309,375,- ,58,86,986,60,121
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
