"Principais Culturas Temporárias (Pinhal Interior Norte, página 1)",,,,,,,,,,,,
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,17,6,14,6,3,o ,- ,- ,3,o 
,,Flores e plantas ornamentais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Góis,,,,,,,,,,,
,,Culturas temporárias,263,306,255,211,192,96,126,68,109,26
,,Cereais para grão,186,69,177,65,31,3,3,o ,28,3
,,Leguminosas secas para grão,175,19,158,17,34,2,11,o ,24,1
,,Prados temporários,29,11,13,8,18,3,- ,- ,18,3
,,Culturas forrageiras,190,171,150,92,146,79,116,66,54,12
,,Batata,216,31,193,27,49,5,4,o ,45,5
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,33,4,23,4,14,1,6,o ,8,o 
,,Flores e plantas ornamentais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,2,... ,2,... ,1,... ,- ,- ,1,... 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
