Principais culturas temporárias,,,,,,,,,,,,
,,Batata,   242 ,   100 ,   236 ,   98 ,   8 ,   2 ,   3 ,   1 ,   5 ,   1 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   40 ,   69 ,   40 ,   69 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   982 ,  1 080 ,   971 ,  1 073 ,   14 ,   9 ,   1 ,... ,   13 ,   9 
,,Flores e plantas ornamentais,   43 ,   26 ,   43 ,   26 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   10 ,   3 ,   6 ,   2 ,   4 ,o ,   4 ,o ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   128 ,   31 ,   15 ,   3 ,   115 ,   28 ,   114 ,   28 ,   1 ,... 
,,Outras culturas temporárias,   15 ,   6 ,   15 ,   6 ,- ,- ,- ,- ,- ,- 
,Vila Franca de Xira,,,,,,,,,,,
,,Culturas temporárias,   397 ,  7 295 ,   391 ,  6 992 ,   21 ,   304 ,   13 ,   298 ,   8 ,   6 
,,Cereais para grão,   210 ,  3 791 ,   210 ,  3 791 ,- ,- ,- ,- ,- ,- 
,,Leguminosas secas para grão,   22 ,   19 ,   22 ,   19 ,- ,- ,- ,- ,- ,- 
,,Prados temporários,   15 ,   147 ,   15 ,   147 ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   128 ,  1 608 ,   124 ,  1 354 ,   11 ,   255 ,   10 ,   251 ,   1 ,... 
,,Batata,   37 ,   48 ,   34 ,   38 ,   3 ,   10 ,   1 ,... ,   2 ,... 
,,Beterraba sacarina,   15 ,   456 ,   15 ,   456 ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   16 ,   414 ,   16 ,   414 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   167 ,   802 ,   163 ,   763 ,   8 ,   39 ,   3 ,   38 ,   5 ,   2 
,,Flores e plantas ornamentais,   3 ,   4 ,   3 ,   4 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   6 ,   7 ,   5 ,   7 ,   1 ,... ,   1 ,... ,- ,- 
,,Outras culturas temporárias,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Península de Setúbal,,,,,,,,,,,
,,Culturas temporárias,  3 425 ,  19 609 ,  3 386 ,  18 253 ,   413 ,  1 357 ,   278 ,  1 260 ,   147 ,   96 
,,Cereais para grão,   543 ,  4 645 ,   506 ,  4 409 ,   65 ,   241 ,   59 ,   238 ,   7 ,   2 
,,Leguminosas secas para grão,   94 ,   76 ,   82 ,   60 ,   14 ,   16 ,   14 ,   16 ,- ,- 
,,Prados temporários,   90 ,   678 ,   90 ,   667 ,   2 ,... ,- ,- ,   2 ,... 
,,Culturas forrageiras,  1 131 ,  7 729 ,  1 081 ,  6 892 ,   168 ,   832 ,   144 ,   798 ,   30 ,   34 
,,Batata,   717 ,  1 367 ,   658 ,  1 191 ,   90 ,   177 ,   81 ,   171 ,   9 ,   6 
,,Beterraba sacarina,   3 ,   79 ,   3 ,   79 ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   24 ,   252 ,   24 ,   252 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,  2 341 ,  4 564 ,  2 292 ,  4 486 ,   128 ,   79 ,   19 ,   33 ,   109 ,   44 
,,Flores e plantas ornamentais,   63 ,   192 ,   63 ,   192 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   4 ,   9 ,   4 ,   9 ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   63 ,   9 ,   63 ,   9 ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   10 ,   11 ,   9 ,   7 ,   1 ,... ,   1 ,... ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,
