Actividade renumerada exterior à exploração da população agrícola familiar (Oeste),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1999
,,,,,,,,,,,,,,,,,Pág.1/5
,,,LISBOA E VALE DO TEJO,Oeste,Alcobaça,Alenquer,Arruda dos Vinhos,Bombarral,Cadaval,Caldas da Rainha,Lourinhã,Mafra,Nazaré,Óbidos,Peniche,Sobral de Monte Agraço,Torres Vedras
,,,nº de indivíduos,,,,,,,,,,,,,,
,,Saúde e acção social,   256 ,   67 ,   14 ,   7 ,   2 ,   6 ,   5 ,   5 ,   3 ,   3 ,- ,   1 ,- ,   2 ,   19 
,,Outras,  4 407 ,  1 687 ,   191 ,   268 ,   77 ,   64 ,   134 ,   116 ,   94 ,   251 ,   18 ,   87 ,   20 ,   59 ,   308 
,Actividade exterior - secundária,,  1 387 ,   903 ,   143 ,   88 ,   1 ,   105 ,   94 ,   108 ,   83 ,   20 ,   4 ,   91 ,   42 ,- ,   124 
,,"Agric, prod. animal, caça e activ. seviços relacionados",   747 ,   503 ,   72 ,   60 ,   1 ,   68 ,   62 ,   60 ,   60 ,   5 ,   1 ,   50 ,   10 ,- ,   54 
,,"Sivicult, exploraç. florestal e activ. seviços relacionados",   19 ,   8 ,- ,   1 ,- ,- ,   2 ,   2 ,   1 ,- ,- ,   1 ,- ,- ,   1 
,,"Pesca, aquacultura e activ. seviços relacionados",   15 ,   14 ,- ,- ,- ,- ,- ,- ,   1 ,- ,- ,   10 ,   3 ,- ,- 
,,Ind. alimentares das bebidas e do tabaco,   16 ,   6 ,- ,   3 ,- ,   1 ,- ,- ,   1 ,   1 ,- ,- ,- ,- ,- 
,,Outras indústrias,   59 ,   25 ,   6 ,   1 ,- ,   1 ,   6 ,   2 ,   2 ,   1 ,- ,   3 ,- ,- ,   3 
,,"Prod. e distribuição de  electricidade, gás e água",   2 ,   1 ,- ,- ,- ,- ,- ,   1 ,- ,- ,- ,- ,- ,- ,- 
,,Construção,   151 ,   97 ,   16 ,   7 ,- ,   11 ,   7 ,   17 ,   7 ,   1 ,   1 ,   7 ,   7 ,- ,   16 
,,Comércio por grosso e retalho,   230 ,   169 ,   32 ,   14 ,- ,   15 ,   11 ,   19 ,   8 ,   9 ,   1 ,   13 ,   15 ,- ,   32 
,,Alojamento e restauração,   21 ,   15 ,   2 ,- ,- ,   3 ,- ,- ,- ,- ,- ,- ,   6 ,- ,   4 
,,Administração pública,   9 ,   5 ,   1 ,- ,- ,   1 ,   1 ,- ,   2 ,- ,- ,- ,- ,- ,- 
,,Educação,   3 ,   2 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,   2 
,,Saúde e acção social,   3 ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras,   112 ,   58 ,   14 ,   2 ,- ,   5 ,   5 ,   7 ,   1 ,   3 ,   1 ,   7 ,   1 ,- ,   12 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Lisboa e Vale do Tejo.",,,,,,,,,,,,,,,,,
