Principais culturas permanentes,,,,,,,,,,,,,,
,,,área (ha),"3,570",121,1,... ,665,"1,107","1,679",... ,- ,- ,- 
,,Valpaços,expl (nº),"4,708","1,025",5,1,"3,200","3,004","3,738",19,- ,- ,- 
,,,área (ha),"14,890",533,1,... ,"5,659","4,994","3,673",30,- ,- ,- 
,,Vila Pouca de Aguiar,expl (nº),981,57,2,- ,576,172,591,3,- ,- ,- 
,,,área (ha),"1,160",26,... ,- ,641,98,377,17,- ,- ,- 
,,Vimioso,expl (nº),"1,380",563,35,1,648,"1,049","1,163",1,- ,- ,- 
,,,área (ha),"3,493",185,o ,... ,840,"1,733",736,... ,- ,- ,- 
,,Vinhais,expl (nº),"2,465",864,1,- ,"2,176",852,"1,758",6,- ,- ,- 
,,,área (ha),"6,954",279,... ,- ,"4,768",774,"1,127",2,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
