População e mão-de-obra agrícola familiar (UTA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA,,,População familiar total,,,,População familiar com tempo de actividade na exploração,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha / Concelho,,,Total,Produtor,Cônjuge,Outros membros,Total,Produtor,Cônjuge,Outros membros,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
AÇORES,,ind (nº),  68 340 ,  19 086 ,  15 771 ,  33 483 ,  44 722 ,  19 086 ,  11 342 ,  14 294 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,São Roque do Pico,ind (nº),  1 770 ,   554 ,   437 ,   779 ,  1 250 ,   554 ,   375 ,   321 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   266 ,   150 ,   64 ,   52 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Faial ( Horta ),,ind (nº),  4 391 ,  1 262 ,  1 052 ,  2 077 ,  2 237 ,  1 262 ,   591 ,   384 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   789 ,   521 ,   160 ,   108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha das Flores,,ind (nº),  1 846 ,   604 ,   449 ,   793 ,  1 343 ,   604 ,   349 ,   390 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   433 ,   268 ,   85 ,   80 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Lajes das Flores,ind (nº),   897 ,   303 ,   208 ,   386 ,   636 ,   303 ,   153 ,   180 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   209 ,   134 ,   38 ,   37 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Santa Cruz das Flores,ind (nº),   949 ,   301 ,   241 ,   407 ,   707 ,   301 ,   196 ,   210 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   224 ,   134 ,   47 ,   43 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ilha do Corvo ( Corvo ),,ind (nº),   233 ,   64 ,   48 ,   121 ,   220 ,   64 ,   48 ,   108 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,UTA,- ,- ,- ,- ,   100 ,   50 ,   19 ,   31 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,

