Principais culturas temporárias (Página 1),,,,,,,,,,,,,
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Carrazeda de Ansiães,,,,,,,,,,,
,,,Culturas temporárias,"1,001","1,168",967,"1,074",143,92,86,82,63,12
,,,Cereais para grão,664,654,653,650,22,5,- ,- ,22,5
,,,Leguminosas secas para grão,114,8,113,8,1,... ,- ,- ,1,... 
,,,Prados temporários,14,40,14,40,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,307,279,223,193,112,87,86,82,30,5
,,,Batata,554,181,536,178,20,1,- ,- ,20,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Freixo de Espada à Cinta,,,,,,,,,,,
,,,Culturas temporárias,349,685,310,623,94,62,46,40,56,23
,,,Cereais para grão,163,411,161,408,5,3,2,... ,3,2
,,,Leguminosas secas para grão,25,4,20,3,6,1,2,... ,4,1
,,,Prados temporários,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,279,259,225,201,91,58,45,38,53,19
,,,Batata,25,8,24,8,3,1,1,... ,2,... 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,1,... ,- ,- ,1,... ,1,... ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Lamego,,,,,,,,,,,
,,,Culturas temporárias,518,464,512,448,30,18,19,18,11,o 
,,,Cereais para grão,318,187,317,187,1,... ,- ,- ,1,... 
,,,Leguminosas secas para grão,158,22,154,22,5,o ,- ,- ,5,o 
,,,Prados temporários,39,29,39,29,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,80,81,69,64,19,18,19,18,- ,- 
,,,Batata,273,98,270,97,5,o ,- ,- ,5,o 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,101,47,101,47,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,6,2,6,2,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
