Principais Culturas Temporárias (Beira Interior Sul),,,,,,,,,,,,
,,Cereais para grão,426,"8,261",397,"8,097",60,163,15,49,47,115
,,Leguminosas secas para grão,78,117,71,100,11,16,6,8,5,8
,,Prados temporários,37,199,35,195,3,4,- ,- ,3,4
,,Culturas forrageiras,"1,165","15,882",997,"13,545",548,"2,339",152,"1,236",479,"1,104"
,,Batata,145,12,121,11,25,1,2,... ,24,1
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,65,"2,230",65,"2,216",1,... ,1,... ,- ,- 
,,Culturas hortícolas,90,32,84,31,6,1,- ,- ,6,1
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,23,6,23,6,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,Penamacor,,,,,,,,,,,
,,Culturas temporárias,"1,056","5,236",998,"4,475",487,761,207,328,401,432
,,Cereais para grão,587,"2,160",531,"2,027",147,133,56,68,105,65
,,Leguminosas secas para grão,226,60,198,52,43,6,11,1,32,5
,,Prados temporários,61,197,49,104,18,93,- ,- ,18,93
,,Culturas forrageiras,742,"2,771",671,"2,254",369,515,171,256,290,262
,,Batata,265,42,220,29,79,12,13,2,66,10
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,41,10,36,9,5,o ,- ,- ,5,o 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Vila Velha de Ródão,,,,,,,,,,,
,,Culturas temporárias,599,"2,552",514,"1,617",446,936,328,529,304,406
,,Cereais para grão,100,83,89,72,22,9,8,6,16,3
,,Leguminosas secas para grão,42,28,35,13,8,15,4,o ,4,15
,,Prados temporários,30,125,22,100,14,25,- ,- ,14,25
,,Culturas forrageiras,576,"2,185",465,"1,301",433,884,323,524,285,361
,,Batata,39,2,38,2,1,... ,- ,- ,1,... 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,6,122,6,122,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,11,5,11,5,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
,,
,,
