"Principais Culturas Temporárias (Beira Interior Norte, página 2)",,,,,,,,,,,,
,,Culturas hortícolas,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,Pinhel,,,,,,,,,,,
,,Culturas temporárias,"2,335","5,520","2,323","5,107",775,416,734,390,60,25
,,Cereais para grão,"1,168","2,050","1,152","2,033",56,18,46,13,12,5
,,Leguminosas secas para grão,391,65,376,60,17,7,14,6,3,1
,,Prados temporários,15,14,15,14,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,"1,589","2,750","1,434","2,377",727,374,702,366,38,9
,,Batata,"1,700",614,"1,689",600,24,15,13,6,11,9
,,Beterraba sacarina,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,93,16,92,16,2,... ,- ,- ,2,... 
,,Flores e plantas ornamentais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,37,3,37,3,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,13,1,11,o ,2,... ,- ,- ,2,... 
,Sabugal,,,,,,,,,,,
,,Culturas temporárias,"2,414","7,239","2,377","6,392","1,378",849,"1,274",743,297,106
,,Cereais para grão,"1,763","2,673","1,729","2,586",155,86,60,55,103,28
,,Leguminosas secas para grão,983,68,946,62,68,2,5,o ,63,2
,,Prados temporários,45,74,44,73,1,... ,- ,- ,1,... 
,,Culturas forrageiras,"2,003","4,028","1,794","3,284","1,291",745,"1,243",683,182,58
,,Batata,"1,724",387,"1,676",374,123,10,4,o ,119,10
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,249,11,239,10,10,o ,1,... ,9,o 
,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,- ,- ,1,... ,1,... ,- ,- 
,Trancoso,,,,,,,,,,,
,,Culturas temporárias,"1,762","5,193","1,732","4,122","1,098","1,074",985,940,302,137
,,Cereais para grão,"1,253","1,679","1,221","1,529",197,149,107,102,99,44
,,Leguminosas secas para grão,322,37,288,33,50,2,8,o ,42,2
,,Prados temporários,17,5,16,5,1,... ,- ,- ,1,... 
,,Culturas forrageiras,"1,410","2,870","1,166","1,968","1,001",901,949,831,140,74
,,Batata,"1,522",601,"1,467",583,157,20,17,5,141,16
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,7,3,7,3,- ,- ,- ,- ,- ,- 
,,Flores e plantas ornamentais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,1,... ,1,... ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Centro.",,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,
,,
,,
,,
,,
,,
