Principais culturas temporárias (Baixo Alentejo - Ajustrel),,,,,,,,,,,
,Culturas hortícolas,   12 ,   41 ,   8 ,   39 ,   5 ,   3 ,- ,- ,   5 ,   3 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
Baixo Alentejo,,,,,,,,,,,
Culturas temporárias,,  5 745 ,  228 345 ,  5 601 ,  223 705 ,   725 ,  4 642 ,   9 ,   252 ,   717 ,  4 390 
Cereais para grão,,  4 347 ,  150 304 ,  4 256 ,  147 625 ,   462 ,  2 680 ,   3 ,   21 ,   459 ,  2 659 
Leguminosas secas para grão,,   383 ,  3 283 ,   348 ,  3 083 ,   44 ,   198 ,- ,- ,   44 ,   198 
Prados temporários,,   110 ,  4 353 ,   103 ,  4 200 ,   12 ,   154 ,- ,- ,   12 ,   154 
Culturas forrageiras,,  1 602 ,  27 203 ,  1 517 ,  26 417 ,   172 ,   790 ,   1 ,... ,   171 ,   790 
Batata,,   39 ,   28 ,   37 ,   28 ,   2 ,... ,   1 ,... ,   1 ,... 
Beterraba sacarina,,   46 ,   964 ,   46 ,   964 ,- ,- ,- ,- ,- ,- 
Culturas indústriais,,  1 629 ,  38 425 ,  1 603 ,  37 654 ,   97 ,   774 ,   3 ,   225 ,   94 ,   549 
Culturas hortícolas,,   836 ,  3 785 ,   808 ,  3 738 ,   45 ,   50 ,   3 ,   6 ,   42 ,   44 
Flores e plantas ornamentais,,   10 ,   3 ,   10 ,   3 ,- ,- ,- ,- ,- ,- 
Sementes de culturas forrageiras,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
Sementes e propágulos de outras culturas não lenhosas,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
Outras culturas temporárias,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Aljustrel,,,,,,,,,,
,Culturas temporárias,   409 ,  24 576 ,   405 ,  24 325 ,   41 ,   250 ,   1 ,... ,   40 ,   248 
,Cereais para grão,   361 ,  18 173 ,   358 ,  17 984 ,   32 ,   189 ,- ,- ,   32 ,   189 
,Leguminosas secas para grão,   30 ,   123 ,   29 ,   105 ,   3 ,   17 ,- ,- ,   3 ,   17 
,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   26 ,  1 594 ,   25 ,  1 583 ,   2 ,... ,- ,- ,   2 ,... 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   239 ,  4 138 ,   237 ,  4 106 ,   6 ,   31 ,- ,- ,   6 ,   31 
,Culturas hortícolas,   97 ,   545 ,   97 ,   543 ,   1 ,... ,   1 ,... ,- ,- 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
