Principais culturas temporárias (Baixo Alentejo - Mértola),,,,,,,,,,,
,Culturas temporárias,   648 ,  26 640 ,   638 ,  26 213 ,   76 ,   428 ,   1 ,... ,   76 ,   427 
,Cereais para grão,   555 ,  15 926 ,   546 ,  15 601 ,   55 ,   326 ,   1 ,... ,   54 ,   325 
,Leguminosas secas para grão,   57 ,   489 ,   53 ,   478 ,   5 ,   12 ,- ,- ,   5 ,   12 
,Prados temporários,   5 ,   44 ,   4 ,   31 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas forrageiras,   82 ,  2 338 ,   79 ,  2 318 ,   6 ,   20 ,- ,- ,   6 ,   20 
,Batata,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   9 ,   443 ,   9 ,   443 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   390 ,  6 394 ,   385 ,  6 344 ,   18 ,   51 ,- ,- ,   18 ,   51 
,Culturas hortícolas,   183 ,   993 ,   180 ,   986 ,   4 ,   7 ,- ,- ,   4 ,   7 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Mértola,,,,,,,,,,
,Culturas temporárias,   377 ,  16 006 ,   376 ,  15 952 ,   17 ,   55 ,- ,- ,   17 ,   55 
,Cereais para grão,   274 ,  12 657 ,   274 ,  12 636 ,   8 ,   21 ,- ,- ,   8 ,   21 
,Leguminosas secas para grão,   21 ,   255 ,   20 ,   252 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   3 ,   160 ,   3 ,   160 ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   127 ,  2 303 ,   126 ,  2 279 ,   6 ,   24 ,- ,- ,   6 ,   24 
,Batata,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   13 ,   558 ,   13 ,   552 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas hortícolas,   53 ,   44 ,   51 ,   43 ,   2 ,... ,- ,- ,   2 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
