Principais culturas temporárias (Alto Alentejo - Fronteira),,,,,,,,,,,
,Leguminosas secas para grão,   14 ,   75 ,   6 ,   23 ,   9 ,   54 ,- ,- ,   9 ,   54 
,Prados temporários,   5 ,   20 ,   5 ,   11 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,   106 ,  1 446 ,   78 ,  1 151 ,   58 ,   295 ,   1 ,... ,   57 ,   294 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   15 ,   630 ,   15 ,   630 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   21 ,   42 ,   20 ,   41 ,   1 ,... ,- ,- ,   1 ,... 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
