Principais culturas temporárias (Baixo Alentejo - Vidigueira),,,,,,,,,,,
,Batata,   8 ,   2 ,   8 ,   2 ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,   7 ,   101 ,   7 ,   101 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   153 ,  4 375 ,   149 ,  4 222 ,   13 ,   154 ,- ,- ,   13 ,   154 
,Culturas hortícolas,   68 ,   362 ,   67 ,   358 ,   3 ,   4 ,- ,- ,   3 ,   4 
,Flores e plantas ornamentais,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Vidigueira,,,,,,,,,,
,Culturas temporárias,   285 ,  11 950 ,   265 ,  11 611 ,   59 ,   339 ,   1 ,... ,   58 ,   298 
,Cereais para grão,   180 ,  6 434 ,   173 ,  6 312 ,   29 ,   121 ,- ,- ,   29 ,   121 
,Leguminosas secas para grão,   9 ,   42 ,   7 ,   29 ,   2 ,... ,- ,- ,   2 ,... 
,Prados temporários,   8 ,   681 ,   6 ,   591 ,   2 ,... ,- ,- ,   2 ,... 
,Culturas forrageiras,   94 ,  2 667 ,   81 ,  2 618 ,   23 ,   51 ,- ,- ,   23 ,   51 
,Batata,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   71 ,  2 052 ,   68 ,  1 993 ,   6 ,   59 ,   1 ,... ,   5 ,   18 
,Culturas hortícolas,   55 ,   72 ,   49 ,   68 ,   8 ,   5 ,- ,- ,   8 ,   5 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
