Principais culturas temporárias (Página 2),,,,,,,,,,,,,
,,,Culturas hortícolas,2,... ,1,... ,1,... ,- ,- ,1,... 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Peso da Régua,,,,,,,,,,,
,,,Culturas temporárias,176,62,169,54,19,8,8,7,11,1
,,,Cereais para grão,70,21,65,21,6,1,- ,- ,6,1
,,,Leguminosas secas para grão,71,8,69,8,2,... ,- ,- ,2,... 
,,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,54,15,48,8,8,7,7,6,1,... 
,,,Batata,27,5,25,5,2,... ,- ,- ,2,... 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,57,8,57,8,1,... ,1,... ,- ,- 
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sabrosa,,,,,,,,,,,
,,,Culturas temporárias,422,319,416,262,69,55,56,50,17,4
,,,Cereais para grão,303,120,302,120,1,... ,- ,- ,1,... 
,,,Leguminosas secas para grão,74,9,74,9,1,... ,- ,- ,1,... 
,,,Prados temporários,20,3,19,3,1,... ,- ,- ,1,... 
,,,Culturas forrageiras,132,115,102,64,57,51,56,50,3,o 
,,,Batata,191,63,183,59,13,3,- ,- ,13,3
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,12,3,12,3,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,6,2,6,2,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Santa Marta de Penaguião,,,,,,,,,,,
,,,Culturas temporárias,163,74,160,59,27,15,21,14,6,o 
,,,Cereais para grão,118,39,118,39,1,... ,- ,- ,1,... 
,,,Leguminosas secas para grão,25,3,25,3,- ,- ,- ,- ,- ,- 
,,,Prados temporários,5,6,5,6,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,27,15,7,1,21,14,21,14,- ,- 
,,,Batata,56,11,51,11,6,o ,- ,- ,6,o 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,São João da Pesqueira,,,,,,,,,,,
,,,Culturas temporárias,507,476,495,450,90,23,55,12,35,10
,,,Cereais para grão,237,207,233,204,6,3,- ,- ,6,3
,,,Leguminosas secas para grão,35,5,34,5,1,... ,1,... ,- ,- 
,,,Prados temporários,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas forrageiras,211,174,153,154,75,20,54,12,21,7
,,,Batata,344,84,338,82,9,o ,- ,- ,9,o 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,4,o ,4,o ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
