Principais culturas temporárias (Página 5),,,,,,,,,,,,,
,,,Leguminosas secas para grão,198,21,193,20,13,o ,- ,- ,13,o 
,,,Prados temporários,20,12,17,9,8,3,- ,- ,8,3
,,,Culturas forrageiras,534,348,339,155,424,193,352,146,143,47
,,,Batata,521,153,507,142,62,10,3,o ,59,10
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,9,2,8,2,1,... ,1,... ,- ,- 
,,,Flores e plantas ornamentais,3,1,3,1,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Valpaços,,,,,,,,,,,
,,,Culturas temporárias,"3,898","6,618","3,758","5,640","1,801",980,"1,125",440,"1,100",540
,,,Cereais para grão,"2,851","3,426","2,781","3,303",296,120,5,1,293,119
,,,Leguminosas secas para grão,789,116,713,97,111,17,2,... ,109,16
,,,Prados temporários,43,78,30,38,17,38,- ,- ,17,38
,,,Culturas forrageiras,"2,424","1,456","1,948",785,"1,414",673,"1,118",436,564,236
,,,Batata,"3,371","1,513","3,154","1,387",589,128,4,o ,586,127
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,151,27,140,24,15,1,6,o ,9,o 
,,,Flores e plantas ornamentais,24,3,24,3,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,2,... ,2,... ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,3,o ,1,... ,2,... ,- ,- ,2,... 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vila Pouca de Aguiar,,,,,,,,,,,
,,,Culturas temporárias,"1,814","5,414","1,801","3,980","1,127","1,434","1,076","1,326",167,106
,,,Cereais para grão,"1,518","1,635","1,511","1,604",67,31,- ,- ,67,31
,,,Leguminosas secas para grão,331,27,326,27,8,o ,- ,- ,8,o 
,,,Prados temporários,398,581,395,578,4,3,- ,- ,4,3
,,,Culturas forrageiras,"1,283","2,468",682,"1,086","1,086","1,382","1,076","1,326",73,54
,,,Batata,"1,495",680,"1,470",664,61,14,- ,- ,61,14
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,17,18,17,18,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,12,5,12,5,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vimioso,,,,,,,,,,,
,,,Culturas temporárias,"1,059","4,563","1,055","4,292",362,271,320,176,174,96
,,,Cereais para grão,720,"2,593",720,"2,592",3,o ,- ,- ,3,o 
,,,Leguminosas secas para grão,121,29,120,28,1,... ,- ,- ,1,... 
,,,Prados temporários,26,75,25,72,3,4,- ,- ,3,4
,,,Culturas forrageiras,794,"1,664",726,"1,398",358,266,320,176,167,92
,,,Batata,682,201,680,201,2,... ,1,... ,1,... 
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,5,1,5,1,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Vinhais,,,,,,,,,,,
,,,Culturas temporárias,"2,286","6,732","2,269","6,361",885,368,826,302,136,65
,,,Cereais para grão,"1,672","4,015","1,662","3,999",41,18,- ,- ,41,18
,,,Leguminosas secas para grão,838,54,831,52,12,2,- ,- ,12,2
,,,Prados temporários,27,18,20,17,7,o ,- ,- ,7,o 
,,,Culturas forrageiras,"1,606","1,822","1,387","1,482",853,339,826,302,73,34
,,,Batata,"2,092",817,"2,074",807,56,11,- ,- ,56,11
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,8,2,8,2,1,... ,1,... ,- ,- 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
