Principais culturas temporárias (Página 4),,,,,,,,,,,,,
,,,Culturas forrageiras,"2,818","2,812","2,151","1,770","1,485","1,040","1,421","1,008",105,30
,,,Batata,"4,664","2,953","4,616","2,893",233,54,2,... ,231,52
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,281,56,273,53,8,2,6,1,2,... 
,,,Flores e plantas ornamentais,43,11,43,11,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,8,2,8,2,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Macedo de Cavaleiros,,,,,,,,,,,
,,,Culturas temporárias,"2,100","6,154","2,079","5,492",910,660,741,372,324,286
,,,Cereais para grão,"1,194","2,792","1,192","2,783",17,11,1,... ,16,10
,,,Leguminosas secas para grão,233,60,227,58,7,o ,- ,- ,7,o 
,,,Prados temporários,63,135,59,132,7,2,- ,- ,7,2
,,,Culturas forrageiras,"1,622","2,757","1,439","2,117",889,638,740,371,288,265
,,,Batata,"1,268",398,"1,256",390,27,6,- ,- ,27,6
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,1,... ,1,... ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,21,12,21,12,- ,- ,- ,- ,- ,- 
,,,Flores e plantas ornamentais,3,o ,3,o ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Miranda do Douro,,,,,,,,,,,
,,,Culturas temporárias,"1,386","7,828","1,376","7,624",276,201,245,163,53,36
,,,Cereais para grão,"1,115","4,314","1,114","4,306",11,8,- ,- ,11,8
,,,Leguminosas secas para grão,134,24,129,24,6,1,2,... ,4,1
,,,Prados temporários,90,173,88,171,5,3,- ,- ,5,3
,,,Culturas forrageiras,"1,084","3,117","1,062","2,943",251,176,232,149,31,25
,,,Batata,710,191,694,179,34,14,25,12,9,1
,,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Culturas hortícolas,25,2,24,2,1,... ,- ,- ,1,... 
,,,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Norte.",,,,,,,,,,,,,
