Culturas regadas (Baixo Alentejo - Vidigueira / Beterraba Sacarina),,,,,,,,,,,,
,área regada (ha),   319 ,   253 ,... ,... ,... ,- ,- ,   27 ,- ,- ,   48 
Ferreira do Alentejo,expl (nº),   84 ,   43 ,   89 ,   21 ,   19 ,   1 ,- ,   21 ,- ,   2 ,   9 
,área regada (ha),  1 364 ,   780 ,  1 296 ,   324 ,   569 ,... ,- ,   242 ,- ,... ,   443 
Mértola,expl (nº),   2 ,   1 ,   3 ,- ,- ,   1 ,- ,   7 ,- ,   2 ,   1 
,área regada (ha),... ,... ,   54 ,- ,- ,... ,- ,   33 ,- ,... ,... 
Moura,expl (nº),   6 ,   3 ,   4 ,- ,- ,   1 ,- ,   24 ,- ,   1 ,   1 
,área regada (ha),   79 ,   87 ,   47 ,- ,- ,... ,- ,   101 ,- ,... ,... 
Ourique,expl (nº),   1 ,   2 ,   44 ,   2 ,   1 ,   1 ,- ,- ,- ,   3 ,- 
,área regada (ha),... ,... ,   314 ,... ,... ,... ,- ,- ,- ,o ,- 
Serpa,expl (nº),   12 ,   14 ,   10 ,- ,- ,   4 ,- ,   26 ,   3 ,   8 ,   7 
,área regada (ha),   376 ,   264 ,   131 ,- ,- ,   20 ,- ,   121 ,   9 ,   2 ,   101 
Vidigueira,expl (nº),   10 ,   8 ,   2 ,   2 ,- ,   1 ,- ,   19 ,   1 ,- ,- 
,área regada (ha),   267 ,   129 ,... ,... ,- ,... ,- ,   77 ,... ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
