Utilização das terras (Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
,,,,,,,,,,,,,,Pág 5/5
,,,Almodôvar,Alvito,Barrancos,Beja,Castro Verde,Cuba,Ferreira do Alentejo,Mértola,Moura,Ourique,Serpa,Vidigueira
,,área (ha),  13 276 ,  2 928 ,  11 995 ,  5 056 ,  1 295 ,  1 799 ,  4 383 ,  5 065 ,  20 855 ,  22 601 ,  15 404 ,  7 374 
Matas e florestas sem culturas sob-coberto,,expl (nº),   189 ,   19 ,   23 ,   66 ,   43 ,   9 ,   57 ,   156 ,   56 ,   160 ,   94 ,   33 
,,área (ha),  7 704 ,   668 ,   477 ,  3 634 ,  1 972 ,   369 ,  1 691 ,  12 002 ,  7 351 ,  4 415 ,  3 430 ,  2 195 
Superfície Agrícola não utilizada,,expl (nº),   32 ,   27 ,   2 ,   80 ,   12 ,   21 ,   11 ,   13 ,   14 ,   73 ,   82 ,   29 
,,área (ha),  1 364 ,   157 ,... ,   895 ,   268 ,   119 ,   64 ,   96 ,   32 ,   625 ,   454 ,   112 
Outras superfícies,,expl (nº),   684 ,   205 ,   137 ,   834 ,   264 ,   236 ,   485 ,   514 ,   918 ,   595 ,  1 437 ,   368 
,,área (ha),   542 ,   167 ,   36 ,  2 000 ,  1 356 ,   164 ,   909 ,   775 ,   473 ,   469 ,   744 ,   450 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
