Produtor singular segundo a OTE e as classes de idade (Bovinos para Gado/Carne - Ilha de São Miguel - Povoação),,,,,,,,,,,
,15 - 24,   65 ,   3 ,   8 ,- ,   1 ,   7 ,- ,   1 ,   24 ,   9 
,25 - 34,   726 ,   13 ,   91 ,   11 ,   22 ,   37 ,- ,   11 ,   326 ,   58 
,35 - 44,  1 526 ,   17 ,   240 ,   20 ,   52 ,   121 ,- ,   29 ,   582 ,   122 
,45 - 54,  1 622 ,   9 ,   254 ,   31 ,   54 ,   182 ,- ,   59 ,   474 ,   122 
,55 - 64,  1 449 ,   7 ,   233 ,   26 ,   69 ,   208 ,- ,   65 ,   301 ,   126 
,>= 65,  1 888 ,   16 ,   321 ,   9 ,   131 ,   405 ,- ,   102 ,   227 ,   131 
,Lagoa,,,,,,,,,,
,Total,   557 ,   6 ,   119 ,   17 ,   21 ,   86 ,- ,   27 ,   91 ,   31 
,15 - 24,   6 ,- ,   3 ,- ,- ,- ,- ,- ,- ,   1 
,25 - 34,   53 ,   1 ,   12 ,   2 ,   1 ,   2 ,- ,   1 ,   17 ,   2 
,35 - 44,   109 ,   1 ,   24 ,   5 ,   3 ,   11 ,- ,   2 ,   29 ,   6 
,45 - 54,   128 ,   1 ,   25 ,   3 ,   4 ,   16 ,- ,   4 ,   22 ,   11 
,55 - 64,   126 ,- ,   30 ,   3 ,   7 ,   20 ,- ,   8 ,   16 ,   5 
,>= 65,   135 ,   3 ,   25 ,   4 ,   6 ,   37 ,- ,   12 ,   7 ,   6 
,Nordeste,,,,,,,,,,
,Total,   666 ,- ,   111 ,   1 ,   13 ,   34 ,- ,   13 ,   225 ,   57 
,15 - 24,   5 ,- ,- ,- ,- ,- ,- ,- ,   3 ,   1 
,25 - 34,   71 ,- ,   4 ,- ,- ,- ,- ,- ,   50 ,   5 
,35 - 44,   140 ,- ,   27 ,- ,- ,   4 ,- ,   2 ,   60 ,   10 
,45 - 54,   148 ,- ,   20 ,- ,   1 ,   7 ,- ,   3 ,   58 ,   12 
,55 - 64,   125 ,- ,   23 ,- ,   1 ,   5 ,- ,   4 ,   34 ,   13 
,>= 65,   177 ,- ,   37 ,   1 ,   11 ,   18 ,- ,   4 ,   20 ,   16 
,Ponta Delgada,,,,,,,,,,
,Total,  2 833 ,   27 ,   384 ,   46 ,   74 ,   358 ,- ,   112 ,   778 ,   324 
,15 - 24,   33 ,   1 ,   3 ,- ,- ,   3 ,- ,- ,   15 ,   5 
,25 - 34,   266 ,   4 ,   30 ,   5 ,- ,   17 ,- ,   2 ,   111 ,   31 
,35 - 44,   625 ,   7 ,   78 ,   9 ,   15 ,   50 ,- ,   11 ,   254 ,   66 
,45 - 54,   627 ,   6 ,   82 ,   14 ,   8 ,   68 ,- ,   27 ,   184 ,   68 
,55 - 64,   594 ,   3 ,   79 ,   14 ,   21 ,   80 ,- ,   31 ,   123 ,   80 
,>= 65,   688 ,   6 ,   112 ,   4 ,   30 ,   140 ,- ,   41 ,   91 ,   74 
,Povoação,,,,,,,,,,
,Total,   664 ,   6 ,   64 ,   2 ,   50 ,   142 ,- ,   23 ,   171 ,   18 
,15 - 24,   9 ,- ,- ,- ,- ,   1 ,- ,   1 ,   5 ,   1 
,25 - 34,   67 ,   2 ,   2 ,- ,   2 ,   5 ,- ,- ,   41 ,   3 
,35 - 44,   120 ,- ,   14 ,   2 ,   7 ,   15 ,- ,- ,   50 ,   4 
,45 - 54,   144 ,- ,   15 ,- ,   9 ,   22 ,- ,   7 ,   46 ,   2 
,55 - 64,   128 ,   2 ,   13 ,- ,   10 ,   32 ,- ,   6 ,   16 ,   5 
,>= 65,   196 ,   2 ,   20 ,- ,   22 ,   67 ,- ,   9 ,   13 ,   3 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,
