Principais culturas temporárias (Ilha de São Miguel - Ribeira Grande),,,,,,,,,,,,
,,Culturas forrageiras,   175 ,   424 ,   157 ,   320 ,   91 ,   105 ,   91 ,   105 ,- ,- 
,,Batata,   236 ,   20 ,   199 ,   14 ,   61 ,   5 ,   18 ,   3 ,   43 ,   2 
,,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   20 ,   1 ,   14 ,   1 ,   6 ,o ,   6 ,o ,- ,- 
,,Flores e plantas ornamentais,   4 ,   3 ,   3 ,   2 ,   2 ,... ,- ,- ,   2 ,... 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   96 ,   8 ,   94 ,   8 ,   2 ,... ,   1 ,... ,   1 ,... 
,,Ribeira Grande,,,,,,,,,,
,,Culturas temporárias,  1 129 ,  2 497 ,  1 114 ,  1 728 ,   481 ,   771 ,   460 ,   766 ,   31 ,   3 
,,Cereais para grão,   133 ,   27 ,   130 ,   26 ,   4 ,o ,   4 ,o ,- ,- 
,,Leguminosas secas para grão,   232 ,   40 ,   200 ,   30 ,   56 ,   8 ,   51 ,   8 ,   5 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   626 ,  1 894 ,   526 ,  1 166 ,   360 ,   732 ,   360 ,   732 ,- ,- 
,,Batata,   556 ,   268 ,   538 ,   260 ,   36 ,   10 ,   23 ,   7 ,   15 ,   1 
,,Beterraba sacarina,   68 ,   64 ,   68 ,   64 ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   60 ,   35 ,   60 ,   35 ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   226 ,   127 ,   184 ,   106 ,   57 ,   18 ,   40 ,   15 ,   18 ,   2 
,,Flores e plantas ornamentais,   10 ,   27 ,   10 ,   27 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   112 ,   14 ,   85 ,   10 ,   36 ,   4 ,   32 ,   4 ,   4 ,o 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,
