Culturas regadas (Alentejo Central Arraiolos / Outras),,,,,,,,,,,
,área regada (ha),... ,... ,   8 ,   37 ,   3 ,   4 ,- ,   2 ,   209 ,   34 
Avis,expl (nº),   15 ,   34 ,   28 ,   5 ,   2 ,   7 ,   1 ,   7 ,   24 ,   42 
,área regada (ha),   385 ,   409 ,   66 ,   30 ,... ,   4 ,... ,   27 ,   282 ,   352 
Campo Maior,expl (nº),   22 ,   11 ,   16 ,- ,   6 ,   11 ,   2 ,   10 ,   185 ,   24 
,área regada (ha),   337 ,   278 ,   35 ,- ,   112 ,   13 ,... ,   29 ,  1 096 ,   640 
Castelo de Vide,expl (nº),- ,- ,   108 ,- ,   7 ,   5 ,- ,- ,   2 ,   3 
,área regada (ha),- ,- ,   90 ,- ,   16 ,o ,- ,- ,... ,   4 
Crato,expl (nº),- ,- ,   1 ,   2 ,   2 ,- ,- ,   1 ,   2 ,   5 
,área regada (ha),- ,- ,... ,... ,... ,- ,- ,... ,... ,   26 
Elvas,expl (nº),   44 ,   33 ,   46 ,   6 ,   29 ,   86 ,   2 ,   3 ,   84 ,   37 
,área regada (ha),   654 ,   341 ,   114 ,   38 ,   24 ,   82 ,... ,   2 ,   472 ,   436 
Fronteira,expl (nº),   5 ,   3 ,   2 ,- ,   5 ,   5 ,- ,   1 ,   17 ,   11 
,área regada (ha),   191 ,   18 ,... ,- ,   6 ,   3 ,- ,... ,   809 ,   367 
Gavião,expl (nº),   3 ,   1 ,   208 ,   1 ,   66 ,   98 ,- ,   15 ,   15 ,   44 
,área regada (ha),   25 ,... ,   91 ,... ,   22 ,   23 ,- ,   9 ,   15 ,   37 
Marvão,expl (nº),- ,- ,   19 ,   9 ,   6 ,   2 ,- ,- ,   24 ,   4 
,área regada (ha),- ,- ,   19 ,   33 ,   3 ,... ,- ,- ,   24 ,   1 
Monforte,expl (nº),   6 ,   1 ,   1 ,   7 ,   1 ,   7 ,- ,   3 ,   14 ,   8 
,área regada (ha),   187 ,... ,... ,   48 ,... ,   5 ,- ,   31 ,   139 ,   446 
Mora,expl (nº),   18 ,   27 ,   155 ,   6 ,   12 ,   53 ,   1 ,- ,   1 ,   18 
,área regada (ha),   212 ,   217 ,   66 ,   55 ,   3 ,   11 ,... ,- ,... ,   283 
Nisa,expl (nº),- ,- ,   13 ,   5 ,   18 ,   19 ,   4 ,   11 ,   29 ,   7 
,área regada (ha),- ,- ,   7 ,   13 ,   2 ,   3 ,o ,   4 ,   47 ,   2 
Ponte de Sor,expl (nº),   6 ,   22 ,  1 013 ,   51 ,   251 ,   596 ,   4 ,   27 ,   185 ,   115 
,área regada (ha),   133 ,   74 ,   485 ,   241 ,   302 ,   150 ,   2 ,   38 ,   81 ,   526 
Portalegre,expl (nº),- ,- ,   311 ,   17 ,   99 ,   94 ,- ,   9 ,   25 ,   17 
,área regada (ha),- ,- ,   177 ,   29 ,   79 ,   30 ,- ,   38 ,   38 ,   37 
Alentejo Central,expl (nº),   183 ,   67 ,   501 ,   80 ,   450 ,   994 ,   33 ,   183 ,   228 ,   248 
,área regada (ha),  3 022 ,   497 ,   627 ,  1 133 ,   714 ,   432 ,   5 ,  1 994 ,  1 215 ,  3 543 
Alandroal,expl (nº),   11 ,- ,   8 ,   11 ,   10 ,   24 ,   1 ,   6 ,   18 ,   9 
,área regada (ha),   161 ,- ,   71 ,   27 ,   292 ,   15 ,... ,   122 ,   135 ,   138 
Arraiolos,expl (nº),   19 ,   3 ,   41 ,   7 ,   36 ,   48 ,   4 ,   5 ,   6 ,   15 
,área regada (ha),   438 ,   10 ,   32 ,   83 ,   102 ,   13 ,o ,   55 ,   166 ,   349 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
