Principais culturas temporárias (Baixo Alentejo - Beja),,,,,,,,,,,
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Beja,,,,,,,,,,
,Culturas temporárias,  1 031 ,  58 919 ,   997 ,  57 465 ,   250 ,  1 455 ,   1 ,... ,   249 ,  1 454 
,Cereais para grão,   880 ,  38 998 ,   850 ,  38 011 ,   192 ,   986 ,- ,- ,   192 ,   986 
,Leguminosas secas para grão,   45 ,   572 ,   42 ,   556 ,   7 ,   16 ,- ,- ,   7 ,   16 
,Prados temporários,   18 ,   859 ,   17 ,   847 ,   4 ,   12 ,- ,- ,   4 ,   12 
,Culturas forrageiras,   141 ,  2 463 ,   124 ,  2 312 ,   35 ,   150 ,- ,- ,   35 ,   150 
,Batata,   7 ,   4 ,   6 ,   4 ,   1 ,... ,- ,- ,   1 ,... 
,Beterraba sacarina,   25 ,   318 ,   25 ,   318 ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   496 ,  15 162 ,   486 ,  14 882 ,   48 ,   282 ,- ,- ,   48 ,   282 
,Culturas hortícolas,   144 ,   543 ,   140 ,   534 ,   11 ,   8 ,   1 ,... ,   10 ,   7 
,Flores e plantas ornamentais,   4 ,   2 ,   4 ,   2 ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
