Principais culturas temporárias (Alentejo Central - Estremoz),,,,,,,,,,,
,Prados temporários,   14 ,   44 ,   10 ,   38 ,   6 ,   6 ,- ,- ,   6 ,   6 
,Culturas forrageiras,   95 ,   536 ,   64 ,   478 ,   42 ,   58 ,   2 ,... ,   41 ,   51 
,Batata,   2 ,... ,   1 ,... ,   1 ,... ,- ,- ,   1 ,... 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   5 ,   84 ,   5 ,   84 ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   90 ,   81 ,   64 ,   54 ,   38 ,   27 ,- ,- ,   38 ,   27 
,Flores e plantas ornamentais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Estremoz,,,,,,,,,,
,Culturas temporárias,   629 ,  10 872 ,   580 ,  10 445 ,   135 ,   427 ,   5 ,   10 ,   133 ,   416 
,Cereais para grão,   358 ,  6 586 ,   353 ,  6 507 ,   20 ,   77 ,- ,- ,   20 ,   77 
,Leguminosas secas para grão,   28 ,   129 ,   24 ,   112 ,   7 ,   17 ,   1 ,... ,   6 ,   16 
,Prados temporários,   30 ,   256 ,   26 ,   241 ,   8 ,   14 ,- ,- ,   8 ,   14 
,Culturas forrageiras,   313 ,  2 927 ,   261 ,  2 626 ,   91 ,   300 ,   4 ,   9 ,   89 ,   291 
,Batata,   6 ,   3 ,   5 ,   2 ,   2 ,... ,- ,- ,   2 ,... 
,Beterraba sacarina,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   61 ,   812 ,   60 ,   812 ,   1 ,... ,- ,- ,   1 ,... 
,Culturas hortícolas,   120 ,   139 ,   110 ,   127 ,   14 ,   16 ,- ,- ,   14 ,   16 
,Flores e plantas ornamentais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
