Explorações segundo as práticas agrícolas e actividades lucrativas não agrícolas,,,,,,,,
REGIÃO AGRÁRIA,Agricultura biológica,,Protecção integrada,,Tratamento de resíduos,,Actividades lucrativas não agrícolas da exploração,
Nut III / Concelho,Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha),Expl (nº),SAU (ha)
Viana do Alentejo,   2 ,... ,- ,- ,   34 ,  9 289 ,   9 ,  4 445 
Vila Viçosa,- ,- ,   3 ,   215 ,   1 ,... ,   5 ,  1 620 
Baixo Alentejo,   112 ,  28 582 ,   155 ,  16 928 ,   75 ,  20 686 ,   145 ,  32 411 
Aljustrel,   1 ,... ,- ,- ,   1 ,... ,   2 ,... 
Almodôvar,   2 ,... ,- ,- ,   3 ,   115 ,   6 ,   400 
Alvito,   4 ,   492 ,   1 ,... ,   6 ,  1 087 ,   4 ,   265 
Barrancos,   4 ,  2 842 ,- ,- ,   1 ,... ,- ,- 
Beja,   4 ,  1 013 ,   3 ,  1 403 ,   5 ,   5 ,   44 ,  6 726 
Castro Verde,- ,- ,- ,- ,   2 ,... ,   2 ,... 
Cuba,   3 ,  2 334 ,   29 ,  3 410 ,   5 ,   959 ,   7 ,   397 
Ferreira do Alentejo,   3 ,   849 ,- ,- ,   6 ,  2 680 ,   3 ,   945 
Mértola,   5 ,  1 005 ,   1 ,... ,   2 ,... ,   13 ,  5 109 
Moura,   61 ,  12 716 ,   8 ,  3 189 ,   4 ,  1 584 ,   7 ,  1 435 
Ourique,   1 ,... ,- ,- ,   5 ,  2 675 ,   3 ,   303 
Serpa,   20 ,  5 185 ,   4 ,   899 ,   25 ,  6 427 ,   14 ,  4 041 
Vidigueira,   4 ,  1 423 ,   109 ,  7 591 ,   10 ,   820 ,   40 ,  10 583 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
