Principais culturas temporárias (Alto Alentejo),,,,,,,,,,,
,Cereais para grão,   107 ,  2 047 ,   107 ,  2 047 ,- ,- ,- ,- ,- ,- 
,Leguminosas secas para grão,   32 ,   244 ,   32 ,   244 ,- ,- ,- ,- ,- ,- 
,Prados temporários,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Culturas forrageiras,   42 ,   497 ,   42 ,   495 ,   1 ,... ,- ,- ,   1 ,... 
,Batata,   3 ,   1 ,   3 ,   1 ,- ,- ,- ,- ,- ,- 
,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Culturas indústriais,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Culturas hortícolas,   2 ,... ,   2 ,... ,- ,- ,- ,- ,- ,- 
,Flores e plantas ornamentais,   3 ,o ,   3 ,o ,- ,- ,- ,- ,- ,- 
,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,Sementes e propágulos de outras culturas não lenhosas,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,Outras culturas temporárias,   9 ,   1 ,   9 ,   1 ,- ,- ,- ,- ,- ,- 
Alto Alentejo,,,,,,,,,,,
Culturas temporárias,,  6 053 ,  110 519 ,  4 913 ,  102 909 ,  2 511 ,  7 614 ,   270 ,  2 013 ,  2 326 ,  5 602 
Cereais para grão,,  1 880 ,  57 359 ,  1 663 ,  56 275 ,   336 ,  1 084 ,   20 ,   226 ,   319 ,   859 
Leguminosas secas para grão,,   292 ,  1 325 ,   200 ,  1 147 ,   96 ,   183 ,   6 ,   6 ,   90 ,   177 
Prados temporários,,   123 ,  2 468 ,   103 ,  2 398 ,   28 ,   72 ,- ,- ,   28 ,   72 
Culturas forrageiras,,  3 528 ,  38 083 ,  2 491 ,  32 105 ,  1 840 ,  5 983 ,   246 ,  1 773 ,  1 661 ,  4 214 
Batata,,   356 ,   177 ,   258 ,   136 ,   101 ,   43 ,   7 ,   3 ,   94 ,   40 
Beterraba sacarina,,   35 ,   827 ,   35 ,   827 ,- ,- ,- ,- ,- ,- 
Culturas indústriais,,   238 ,  7 507 ,   238 ,  7 506 ,   1 ,... ,- ,- ,   1 ,... 
Culturas hortícolas,,  2 152 ,  2 770 ,  1 802 ,  2 517 ,   522 ,   255 ,   5 ,   6 ,   517 ,   248 
Flores e plantas ornamentais,,   16 ,   3 ,   15 ,   2 ,   1 ,... ,- ,- ,   1 ,... 
Sementes de culturas forrageiras,,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
Sementes e propágulos de outras culturas não lenhosas,,   7 ,   6 ,   7 ,   6 ,- ,- ,- ,- ,- ,- 
Outras culturas temporárias,,   6 ,o ,   5 ,o ,   1 ,... ,- ,- ,   1 ,... 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,
