Explorações segundo o número de blocos com SAU (Alentejo Central - Vendas Novas),,,,,,,,,,,,,
,,SAU (ha),  27 484 ,  12 389 ,  5 457 ,   358 ,  2 212 ,  3 028 ,  3 363 ,   680 ,,,
,,blocos com SAU (nº),  1 603 ,   104 ,   118 ,   135 ,   245 ,   372 ,   512 ,   117 ,,,
,Portel,expl (nº),   745 ,   327 ,   180 ,   109 ,   84 ,   34 ,   10 ,   1 ,,,
,,SAU (ha),  38 834 ,  12 275 ,  4 938 ,  5 878 ,  7 029 ,  5 692 ,  2 989 ,... ,,,
,,blocos com SAU (nº),  1 764 ,   327 ,   360 ,   327 ,   366 ,   234 ,   130 ,... ,,,
,Redondo,expl (nº),   626 ,   341 ,   134 ,   48 ,   51 ,   27 ,   19 ,   6 ,,,
,,SAU (ha),  27 326 ,  8 642 ,  6 879 ,  2 716 ,  4 083 ,  3 261 ,   937 ,   808 ,,,
,,blocos com SAU (nº),  1 590 ,   341 ,   268 ,   144 ,   224 ,   195 ,   261 ,   157 ,,,
,Reguengos de Monsaraz,expl (nº),  1 002 ,   353 ,   220 ,   123 ,   145 ,   111 ,   43 ,   7 ,,,
,,SAU (ha),  38 164 ,  7 791 ,  8 016 ,  2 567 ,  8 668 ,  5 718 ,  4 083 ,  1 321 ,,,
,,blocos com SAU (nº),  3 310 ,   353 ,   440 ,   369 ,   644 ,   798 ,   542 ,   164 ,,,
,Sousel,expl (nº),   511 ,   217 ,   88 ,   61 ,   67 ,   50 ,   23 ,   5 ,,,
,,SAU (ha),  24 056 ,  8 447 ,  5 318 ,  4 378 ,  2 164 ,  1 533 ,  1 171 ,  1 045 ,,,
,,blocos com SAU (nº),  1 662 ,   217 ,   176 ,   183 ,   290 ,   372 ,   304 ,   120 ,,,
,Vendas Novas,expl (nº),   231 ,   143 ,   48 ,   18 ,   17 ,   5 ,- ,- ,,,
,,SAU (ha),  17 552 ,  4 714 ,  2 891 ,  3 082 ,  1 679 ,  5 187 ,- ,- ,,,
,,blocos com SAU (nº),   403 ,   143 ,   96 ,   54 ,   73 ,   37 ,- ,- ,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,
