Produtor singular segundo a OTE e as classes de idade (Não Classificado / Alentejo Litoral - Sines),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Pág 8/14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
REGIÃO AGRÁRIA / Nut III / Concelho,,Total,Bovinos    para leite /gado /carne,Ovinos /caprinos /out. herb.,Granívoros,Policultura,Polipecuária-herbívoros,Polipecuária-granívoros,Agricultura geral e herbívoros,Culturas diversas e gado,Não classificadas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ALENTEJO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,   9 ,- ,   1 ,- ,- ,   1 ,- ,   1 ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   63 ,- ,   15 ,   3 ,   3 ,   4 ,   1 ,   7 ,   4 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   151 ,- ,   26 ,   17 ,   13 ,   7 ,   7 ,   7 ,   7 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   296 ,   1 ,   43 ,   32 ,   20 ,   13 ,   18 ,   18 ,   21 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   427 ,   1 ,   76 ,   33 ,   42 ,   20 ,   16 ,   20 ,   33 ,   5 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   635 ,   2 ,   83 ,   27 ,   69 ,   20 ,   24 ,   18 ,   57 ,   15 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Sines,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,   213 ,- ,   25 ,   22 ,   18 ,   7 ,   9 ,   32 ,   17 ,   3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,15 - 24,- ,- ,- ,- ,- ,- ,- ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,25 - 34,   8 ,- ,- ,- ,   1 ,   1 ,   3 ,- ,- ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,35 - 44,   29 ,- ,   4 ,- ,   2 ,   2 ,   2 ,   5 ,   1 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,45 - 54,   38 ,- ,   4 ,- ,   5 ,   1 ,   2 ,   9 ,   3 ,- ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,55 - 64,   63 ,- ,   9 ,   11 ,   3 ,- ,- ,   5 ,   9 ,   2 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,>= 65,   75 ,- ,   8 ,   11 ,   7 ,   3 ,   2 ,   13 ,   4 ,   1 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
