Produtor singular segundo a  dimensão económica e as classes de idade (Alentejo Central - Sousel),,,,,,,,,,
,,15 - 24,- ,- ,- ,- ,- ,- ,- ,- 
,,25 - 34,   38 ,   6 ,   5 ,   8 ,   6 ,   10 ,   3 ,- 
,,35 - 44,   88 ,   28 ,   10 ,   11 ,   12 ,   17 ,   7 ,   3 
,,45 - 54,   157 ,   62 ,   28 ,   16 ,   15 ,   18 ,   16 ,   2 
,,55 - 64,   239 ,   119 ,   27 ,   34 ,   26 ,   17 ,   11 ,   5 
,,>= 65,   419 ,   229 ,   63 ,   47 ,   38 ,   25 ,   10 ,   7 
,,Sousel,,,,,,,,
,,Total,   491 ,   273 ,   64 ,   55 ,   40 ,   32 ,   19 ,   8 
,,15 - 24,   3 ,   2 ,- ,- ,   1 ,- ,- ,- 
,,25 - 34,   27 ,   10 ,   1 ,   3 ,   4 ,   3 ,   6 ,- 
,,35 - 44,   43 ,   16 ,   2 ,   3 ,   6 ,   10 ,   6 ,- 
,,45 - 54,   63 ,   34 ,   8 ,   3 ,   5 ,   10 ,   1 ,   2 
,,55 - 64,   120 ,   66 ,   18 ,   16 ,   13 ,   3 ,   4 ,- 
,,>= 65,   235 ,   145 ,   35 ,   30 ,   11 ,   6 ,   2 ,   6 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
