Explorações segundo o número de suínos (Alentejo Central - Arraiolos),,,,,,,,,,,,
Gavião,expl (nº),   169 ,   142 ,   19 ,   6 ,   1 ,   1 ,- ,- ,- ,- ,- 
,efect (nº),   360 ,   217 ,   61 ,   38 ,... ,... ,- ,- ,- ,- ,- 
Marvão,expl (nº),   123 ,   71 ,   29 ,   14 ,   6 ,   3 ,- ,- ,- ,- ,- 
,efect (nº),   448 ,   110 ,   97 ,   90 ,   77 ,   74 ,- ,- ,- ,- ,- 
Monforte,expl (nº),   21 ,   2 ,   2 ,   3 ,   6 ,   3 ,   1 ,   2 ,   2 ,- ,- 
,efect (nº),  1 171 ,... ,... ,   19 ,   82 ,   82 ,... ,... ,... ,- ,- 
Mora,expl (nº),   91 ,   53 ,   11 ,   7 ,   6 ,   6 ,   1 ,   2 ,   1 ,   1 ,   3 
,efect (nº),  8 208 ,   74 ,   39 ,   49 ,   82 ,   179 ,... ,... ,... ,... ,  6 723 
Nisa,expl (nº),   222 ,   182 ,   20 ,   10 ,   3 ,   4 ,- ,   2 ,   1 ,- ,- 
,efect (nº),  1 182 ,   270 ,   65 ,   63 ,   46 ,   100 ,- ,... ,... ,- ,- 
Ponte de Sor,expl (nº),   445 ,   347 ,   43 ,   22 ,   12 ,   10 ,   5 ,   3 ,- ,   1 ,   2 
,efect (nº),  11 375 ,   517 ,   145 ,   132 ,   168 ,   336 ,   343 ,   395 ,- ,... ,... 
Portalegre,expl (nº),   395 ,   263 ,   80 ,   20 ,   18 ,   7 ,   2 ,   5 ,- ,- ,- 
,efect (nº),  1 971 ,   370 ,   256 ,   135 ,   223 ,   229 ,... ,   636 ,- ,- ,- 
Alentejo Central,expl (nº),  1 424 ,   535 ,   229 ,   148 ,   116 ,   127 ,   82 ,   61 ,   47 ,   47 ,   32 
,efect (nº),  195 194 ,   853 ,   769 ,   951 ,  1 567 ,  3 728 ,  5 819 ,  8 218 ,  12 760 ,  28 330 ,  132 199 
Alandroal,expl (nº),   183 ,   101 ,   24 ,   14 ,   11 ,   10 ,   9 ,   6 ,   5 ,   2 ,   1 
,efect (nº),  6 120 ,   161 ,   81 ,   95 ,   134 ,   290 ,   614 ,   890 ,  1 406 ,... ,... 
Arraiolos,expl (nº),   106 ,   23 ,   14 ,   15 ,   10 ,   15 ,   9 ,   8 ,   5 ,   4 ,   3 
,efect (nº),  25 331 ,   38 ,   49 ,   95 ,   138 ,   438 ,   668 ,   890 ,  1 527 ,  2 759 ,  18 729 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,
