Explorações segundo o número de suínos (Baixo Alentejo - Vidigueira),,,,,,,,,,,,,,
Alvito,expl (nº),   13 ,   4 ,   2 ,   1 ,   3 ,   2 ,- ,- ,   1 ,- ,- ,,
,efect (nº),   418 ,   7 ,... ,... ,   38 ,... ,- ,- ,... ,- ,- ,,
Barrancos,expl (nº),   50 ,   13 ,   7 ,   4 ,   6 ,   8 ,   2 ,   6 ,   3 ,   1 ,- ,,
,efect (nº),  3 013 ,   22 ,   24 ,   24 ,   79 ,   242 ,... ,   974 ,   839 ,... ,- ,,
Beja,expl (nº),   104 ,   31 ,   17 ,   16 ,   13 ,   6 ,   6 ,   6 ,   4 ,   4 ,   1 ,,
,efect (nº),  8 274 ,   51 ,   61 ,   100 ,   180 ,   175 ,   340 ,   916 ,  1 145 ,  1 924 ,... ,,
Castro Verde,expl (nº),   90 ,   30 ,   15 ,   9 ,   8 ,   14 ,   4 ,   6 ,   3 ,   1 ,- ,,
,efect (nº),  3 158 ,   48 ,   48 ,   55 ,   104 ,   441 ,   290 ,   780 ,   900 ,... ,- ,,
Cuba,expl (nº),   16 ,   6 ,   1 ,- ,   2 ,- ,   1 ,- ,   2 ,   2 ,   2 ,,
,efect (nº),  10 520 ,   10 ,... ,- ,... ,- ,... ,- ,... ,... ,... ,,
Ferreira do Alentejo,expl (nº),   28 ,   3 ,   3 ,   1 ,   4 ,   6 ,   1 ,   4 ,   1 ,   3 ,   2 ,,
,efect (nº),  6 307 ,   5 ,   10 ,... ,   53 ,   168 ,... ,   509 ,... ,  2 171 ,... ,,
Mértola,expl (nº),   151 ,   59 ,   20 ,   25 ,   13 ,   22 ,   5 ,   3 ,   3 ,- ,   1 ,,
,efect (nº),  5 083 ,   97 ,   70 ,   178 ,   177 ,   640 ,   381 ,   459 ,   873 ,- ,... ,,
Moura,expl (nº),   156 ,   39 ,   22 ,   24 ,   23 ,   16 ,   13 ,   10 ,   6 ,   2 ,   1 ,,
,efect (nº),  7 816 ,   68 ,   75 ,   167 ,   320 ,   487 ,   853 ,  1 359 ,  1 568 ,... ,... ,,
Ourique,expl (nº),   321 ,   92 ,   36 ,   41 ,   49 ,   49 ,   24 ,   17 ,   8 ,   5 ,- ,,
,efect (nº),  11 971 ,   142 ,   124 ,   273 ,   679 ,  1 413 ,  1 750 ,  2 227 ,  2 464 ,  2 899 ,- ,,
Serpa,expl (nº),   275 ,   97 ,   47 ,   35 ,   38 ,   26 ,   14 ,   8 ,   7 ,   2 ,   1 ,,
,efect (nº),  9 680 ,   152 ,   151 ,   229 ,   513 ,   794 ,   996 ,  1 078 ,  1 803 ,... ,... ,,
Vidigueira,expl (nº),   26 ,   13 ,   6 ,   1 ,   1 ,   2 ,   1 ,   2 ,- ,- ,- ,,
,efect (nº),   491 ,   21 ,   19 ,... ,... ,... ,... ,... ,- ,- ,- ,,
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Alentejo",,,,,,,,,,,,,,
