Principais culturas temporárias (Ilha Terceira - Vila da Praia da Vitória),,,,,,,,,,,,
,,Culturas temporárias,  1 659 ,  3 178 ,  1 553 ,  2 015 ,   999 ,  1 164 ,   875 ,  1 146 ,   184 ,   17 
,,Cereais para grão,   210 ,   31 ,   205 ,   31 ,   5 ,o ,   1 ,... ,   4 ,o 
,,Leguminosas secas para grão,   467 ,   26 ,   416 ,   22 ,   72 ,   3 ,   43 ,   2 ,   30 ,   2 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,  1 114 ,  2 963 ,   950 ,  1 829 ,   813 ,  1 136 ,   813 ,  1 136 ,- ,- 
,,Batata,   733 ,   67 ,   623 ,   55 ,   129 ,   10 ,   20 ,   2 ,   110 ,   8 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   369 ,   63 ,   307 ,   53 ,   75 ,   7 ,   18 ,   3 ,   58 ,   3 
,,Flores e plantas ornamentais,   23 ,   7 ,   23 ,   7 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,   4 ,   1 ,   4 ,   1 ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,   3 ,   1 ,   3 ,   1 ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   209 ,   16 ,   176 ,   14 ,   40 ,   2 ,   18 ,o ,   23 ,   1 
,,Vila da Praia da Vitória,,,,,,,,,,
,,Culturas temporárias,   970 ,  1 378 ,   917 ,   987 ,   500 ,   392 ,   423 ,   384 ,   96 ,   8 
,,Cereais para grão,   75 ,   14 ,   64 ,   13 ,   11 ,   1 ,   9 ,   1 ,   2 ,... 
,,Leguminosas secas para grão,   206 ,   9 ,   178 ,   9 ,   33 ,   1 ,   19 ,   1 ,   15 ,o 
,,Prados temporários,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas forrageiras,   662 ,  1 291 ,   611 ,   915 ,   384 ,   375 ,   384 ,   375 ,- ,- 
,,Batata,   379 ,   36 ,   309 ,   29 ,   86 ,   7 ,   8 ,o ,   78 ,   6 
,,Beterraba sacarina,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Culturas indústriais,   1 ,... ,   1 ,... ,- ,- ,- ,- ,- ,- 
,,Culturas hortícolas,   77 ,   15 ,   61 ,   13 ,   21 ,   2 ,   15 ,   2 ,   6 ,o 
,,Flores e plantas ornamentais,   5 ,   1 ,   5 ,   1 ,- ,- ,- ,- ,- ,- 
,,Sementes de culturas forrageiras,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Sementes e propágulos de outras culturas não lenhosas,- ,- ,- ,- ,- ,- ,- ,- ,- ,- 
,,Outras culturas temporárias,   100 ,   9 ,   77 ,   6 ,   25 ,   1 ,   10 ,   1 ,   16 ,o 
"Fonte: INE, Recenseamento Geral da Agricultura, 1999 - Região Autónoma dos Açores",,,,,,,,,,,,
